_id,Date,Rain,Temp Max,Temp Min
127,07-05-1951,,35.79000092,24.31999969
128,08-05-1951,,35.86000061,24.29999924
129,09-05-1951,,37.00999832,24.87999916
130,10-05-1951,,36.74000168,24.34000015
131,11-05-1951,,37.00999832,24.37999916
132,12-05-1951,,36.74000168,24.31999969
133,13-05-1951,,36.22000122,23.85000038
134,14-05-1951,,36.13000107,24.13999939
135,15-05-1951,,36.27000046,24.01000023
136,16-05-1951,,35.86999893,25.36000061
137,17-05-1951,,35.81999969,24.45999908
138,18-05-1951,,37.93000031,25.48999977
139,19-05-1951,,37.27999878,24.43000031
140,20-05-1951,,37.09000015,24.12999916
141,21-05-1951,,35.95999908,24.57999992
142,22-05-1951,,35.65999985,24.47999954
143,23-05-1951,,35.97000122,24.45999908
144,24-05-1951,,35.63999939,25.29000092
145,25-05-1951,,35.24000168,24.03000069
146,26-05-1951,,33.88999939,25.70999908
147,27-05-1951,,35.79000092,25.04000092
148,28-05-1951,,33.95999908,25.56999969
149,29-05-1951,,35.02999878,24.77000046
150,30-05-1951,,34.54999924,25.22999954
151,31-05-1951,,35.15999985,25.38999939
152,01-06-1951,,34.90000153,25.78000069
153,02-06-1951,,34.16999817,25
154,03-06-1951,,33.47999954,25.56999969
155,04-06-1951,,34.22999954,24.78000069
156,05-06-1951,,33.06999969,25.64999962
157,06-06-1951,,33.90000153,25.67000008
158,07-06-1951,,34.47999954,25.84000015
159,08-06-1951,,35.18000031,25.86000061
160,09-06-1951,,34.58000183,25.69000053
161,10-06-1951,,35.31000137,26.53000069
162,11-06-1951,,34.34999847,26.02000046
163,12-06-1951,,33.86999893,24.5
164,13-06-1951,,30.31999969,23.51000023
165,14-06-1951,,31.88999939,23.12000084
166,15-06-1951,,30.43000031,23.88999939
167,16-06-1951,,31.40999985,25.19000053
168,17-06-1951,,32.15000153,23.87000084
169,18-06-1951,,32.52999878,23.54999924
170,19-06-1951,,32.09999847,24.35000038
171,20-06-1951,,32.86000061,24.86000061
172,21-06-1951,,31.87000084,25.12999916
173,22-06-1951,,31.67000008,24.11000061
174,23-06-1951,,30.44000053,24.57999992
175,24-06-1951,,30.20999908,24.57999992
176,25-06-1951,,31.11000061,26.12999916
177,26-06-1951,,31.55999947,25.76000023
178,27-06-1951,,30.23999977,23.70999908
179,28-06-1951,,29.54999924,23.06999969
180,29-06-1951,,29.79000092,23.5
181,30-06-1951,,30.67000008,24.90999985
182,01-07-1951,,28.98999977,24.15999985
183,02-07-1951,,30.09000015,24.62000084
184,03-07-1951,,30.95000076,25.07999992
185,04-07-1951,,30.56999969,24.22999954
186,05-07-1951,,30.72999954,23.93000031
187,06-07-1951,,32.13999939,25.09000015
188,07-07-1951,,31.87999916,24.72999954
189,08-07-1951,,31.70999908,24.19000053
190,09-07-1951,,31.69000053,23.13999939
191,10-07-1951,,30.95000076,24.59000015
192,11-07-1951,,31.39999962,25.13999939
193,12-07-1951,,30.20999908,24.39999962
194,13-07-1951,,29.44000053,23.29999924
195,14-07-1951,,29.77000046,23.35000038
196,15-07-1951,,30.11000061,23.80999947
197,16-07-1951,,31.52000046,23.90999985
198,17-07-1951,,30.19000053,23.87999916
199,18-07-1951,,29.57999992,23.88999939
200,19-07-1951,,28.34000015,23.20000076
201,20-07-1951,,27.42000008,22.87000084
202,21-07-1951,,28.02000046,23.45999908
203,22-07-1951,,28.86000061,23.95000076
204,23-07-1951,,29.47999954,23.90999985
205,24-07-1951,,30.37999916,24.02000046
